VEHICLE_NUMBER,14
CAPACITY,200
CUSTOMERS,100
NODES INFO
ID,XCOORD,YCOORD,DEMAND,UNLOADING_TIME
0,35,35,0,0
1,41,49,10,10
2,35,17,7,10
3,55,45,13,10
4,55,20,19,10
5,15,30,26,10
6,25,30,3,10
7,20,50,5,10
8,10,43,9,10
9,55,60,16,10
10,30,60,16,10
11,20,65,12,10
12,50,35,19,10
13,30,25,23,10
14,15,10,20,10
15,30,5,8,10
16,10,20,19,10
17,5,30,2,10
18,20,40,12,10
19,15,60,17,10
20,45,65,9,10
21,45,20,11,10
22,45,10,18,10
23,55,5,29,10
24,65,35,3,10
25,65,20,6,10
26,45,30,17,10
27,35,40,16,10
28,41,37,16,10
29,64,42,9,10
30,40,60,21,10
31,31,52,27,10
32,35,69,23,10
33,53,52,11,10
34,65,55,14,10
35,63,65,8,10
36,2,60,5,10
37,20,20,8,10
38,5,5,16,10
39,60,12,31,10
40,40,25,9,10
41,42,7,5,10
42,24,12,5,10
43,23,3,7,10
44,11,14,18,10
45,6,38,16,10
46,2,48,1,10
47,8,56,27,10
48,13,52,36,10
49,6,68,30,10
50,47,47,13,10
51,49,58,10,10
52,27,43,9,10
53,37,31,14,10
54,57,29,18,10
55,63,23,2,10
56,53,12,6,10
57,32,12,7,10
58,36,26,18,10
59,21,24,28,10
60,17,34,3,10
61,12,24,13,10
62,24,58,19,10
63,27,69,10,10
64,15,77,9,10
65,62,77,20,10
66,49,73,25,10
67,67,5,25,10
68,56,39,36,10
69,37,47,6,10
70,37,56,5,10
71,57,68,15,10
72,47,16,25,10
73,44,17,9,10
74,46,13,8,10
75,49,11,18,10
76,49,42,13,10
77,53,43,14,10
78,61,52,3,10
79,57,48,23,10
80,56,37,6,10
81,55,54,26,10
82,15,47,16,10
83,14,37,11,10
84,11,31,7,10
85,16,22,41,10
86,4,18,35,10
87,28,18,26,10
88,26,52,9,10
89,26,35,15,10
90,31,67,3,10
91,15,19,1,10
92,22,22,2,10
93,18,24,22,10
94,26,27,27,10
95,25,24,20,10
96,22,27,11,10
97,25,21,12,10
98,19,21,10,10
99,20,26,9,10
100,18,18,17,10
